Année,Pays,Annual Real GDP Growth (%),Current Account Balance (mn),Exchange Rate,GDP Per Capita,Gross Domestic Product (mn),Inflation Rate (%),Integration_Regionale_Score
2015,Afrique du Sud,"0,279357422","-8521,994957","14,70961094","5722,506789","323567,7014","6,602908424","0,62542"
2016,Afrique du Sud,"1,1579","-9056,996806","13,32380104","6643,949518","381136,8081","5,186186555","0,62542"
2017,Afrique du Sud,"1,5568","-12159,92662","13,23392677","6959,29572","405260,6677","4,509872649","0,62542"
2018,Afrique du Sud,"0,2599","-10200,41054","14,4484272","6584,195397","389330,058","4,102850755","0,62542"
2019,Afrique du Sud,"-6,1689","6771,399116","16,45910454","5632,629105","337974,6442","3,232388316","0,62542"
2020,Afrique du Sud,"4,8586","15700,96935","14,77867794","6828,755439","419986,2143","4,618745449","0,62542"
2021,Afrique du Sud,"2,0581","-1877,973945","16,35585403","6534,249348","407596,0195","7,039872726","0,62542"
2022,Afrique du Sud,"0,8061","-6143,218091","18,4502449","6034,269891","381440,682","6,075243846","0,62542"
2023,Afrique du Sud,"0,5348","-2383,641616","18,32865715","6267,186272","401145,0451","4,361152465","0,62542"
2024,Afrique du Sud,"1,2736","-2163,1","17,90950012","6541,745767","423560,3757","3,2003","0,62542"
2015,Algérie,"3,2","-26204,04634","109,4430695","4426,580357","180763,8355","6,397694803","0,28203"
2016,Algérie,"1,3","-22067,51802","110,9730148","4551,206841","189880,9006","5,59111591","0,28203"
2017,Algérie,"1,4","-16905,64252","116,5937881","4569,366576","194554,4901","4,269990205","0,28203"
2018,Algérie,"0,9225","-16954,29403","119,3535614","4455,132106","193459,6566","1,951768211","0,28203"
2019,Algérie,"-5,0256","-18187,0373","126,7768021","3759,855252","164873,4126","2,415130941","0,28203"
2020,Algérie,"3,813","-4512,873533","135,0640564","4177,752631","186231,679","7,226063074","0,28203"
2021,Algérie,"3,6346","19433,08954","141,9949799","4980,716632","225581,637","9,265515516","0,28203"
2022,Algérie,"4,1552","6359,214534","135,842926","5392,815347","247923,8999","9,322173759","0,28203"
2023,Algérie,"3,6343","-2753,8","134,0532379","5776,225494","269322,2899","4,046114553","0,28203"
2024,Algérie,"3,8345","-18449,2","131,6059265","6262,511883","295909,949","1,6089","0,28203"
2015,Angola,"-2,580097243","-3085,195463","163,6564331","3468,490072","101123,828","30,69441508","0,23778"
2016,Angola,"-2,5","-632,8671479","165,9159546","4042,631504","122123,8551","29,8444799","0,23778"
2017,Angola,"-0,6451","7402,606519","252,8557434","3240,813868","101353,2129","19,62893797","0,23778"
2018,Angola,"-0,2582","5137,39488","364,8258057","2569,597031","83136,74233","17,08095414","0,23778"
