Company,Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab),Part de marché pays (%),Primes Emises Année Précédente (mn USD),Line_Of_Business,Company_Type
AXA Algerie Assurances Dommage,Algeria,2023,13.69,-0.35,,,1.29,13.74,Non-Life (P&C),Insurance
AXA Algerie Assurances Vie,Algeria,2023,20.36,28.1,,,14.78,15.89,Life,Insurance
Alliance Assurances,Algeria,2023,43.2,12.59,,,4.06,38.37,Non-Life (P&C),Insurance
CAAR Direction Generale,Algeria,2023,120.43,0.84,,,11.31,119.43,Non-Life (P&C),Insurance
CAARAMA Assurance,Algeria,2023,15.61,0.64,,,11.34,15.51,Life,Insurance
CAAT des Assurances,Algeria,2023,210.74,12.01,,,19.79,188.15,Non-Life (P&C),Insurance
Caisse Nationale de Mutualite Agricole,Algeria,2023,95.03,3.28,,,8.92,92.01,Non-Life (P&C),Insurance
Cardif Al.Djazair.,Algeria,2023,28.04,11.18,,,20.36,25.22,Life,Insurance
Cash Assurances,Algeria,2023,147.5,11.43,,,13.85,132.37,Non-Life (P&C),Insurance
Compagnie Internationale d’Assurance et de Reassurance (CIAR),Algeria,2023,70.21,12.31,,,6.59,62.51,Non-Life (P&C),Insurance
Generale Assurance Mediterraneen,Algeria,2023,21.63,0.46,,,2.03,21.53,Non-Life (P&C),Insurance
Le Mutualiste,Algeria,2023,2.02,-25.8,,,1.46,2.72,Life,Insurance
L’Algerienne Vie,Algeria,2023,29.88,46.46,,,21.7,20.4,Life,Insurance
Macir Vie,Algeria,2023,10.27,12.25,,,7.46,9.15,Life,Insurance
Salama Assurances Algerie,Algeria,2023,32.78,8.65,,,3.08,30.17,Non-Life (P&C),Insurance
"Societe d’Assurance, de Prevoyance et de Sante",Algeria,2023,17.03,13.88,,,12.37,14.96,Life,Insurance
Sociéete Nationale d’Assurance,Algeria,2023,222.66,5.71,,,20.91,210.63,Non-Life (P&C),Insurance
TAAMINE Life Algerie (TALA),Algeria,2023,14.51,33.96,,,10.54,10.83,Life,Insurance
Trust Algeria Assurance et de Reassurance,Algeria,2023,55.41,18.85,,,5.2,46.62,Non-Life (P&C),Insurance
gig Algeria,Algeria,2023,31.69,14.77,,,2.98,27.61,Non-Life (P&C),Insurance
Atlantique Assurances,Benin,2022,5.33,-26.71,,,9.06,7.27,Life,Insurance
Atlantique Assurances,Benin,2023,16.35,-2.49,,,18.59,16.77,Non-Life (P&C),Insurance
CIF Assurance Vie,Benin,2022,2.7,-3.71,,,4.59,2.81,Life,Insurance
L'Africaine Vie Benin,Benin,2022,7.44,-14.47,,,12.65,8.7,Life,Insurance
L'Africaine des Assurances,Benin,2023,23.5,10.66,,,26.73,21.24,Non-Life (P&C),Insurance
La Generale des Assurances Du Benin (La GAB SA),Benin,2023,2.82,-5.89,,,3.2,2.99,Non-Life (P&C),Insurance
Nobila BENIN,Benin,2023,3.7,36.98,,,4.21,2.7,Non-Life (P&C),Insurance
Nouvelle Societe Interafricaine D'Assurances,Benin,2023,21.07,-0.15,,,23.95,21.1,Non-Life (P&C),Insurance
Nouvelle Societe Interafricaine D'Assurances Vie (NSIA -Vie),Benin,2022,13.06,13.63,,,22.2,11.49,Life,Insurance
SANLAM Assurances,Benin,2022,14.46,0.89,,,24.59,14.34,Life,Insurance
SANLAM Assurances,Benin,2023,13.2,14.0,,,15.01,11.58,Non-Life (P&C),Insurance
SUNU Assurances,Benin,2022,15.83,0.21,,,26.91,15.8,Life,Insurance
SUNU Assurances IARD Benin,Benin,2023,7.3,51.54,,,8.31,4.82,Non-Life (P&C),Insurance
Absa Life Botswana (Pty) Ltd,Botswana,2022,12.06,-12.83,,,3.31,13.83,Life,Insurance
Alpha Direct Insurance Company (Pty) Ltd,Botswana,2022,5.4,8.88,,,3.85,4.96,Non-Life (P&C),Insurance
BIHL Insurance Company (Legal Guard) Ltd,Botswana,2022,3.89,-8.07,,,2.78,4.23,Non-Life (P&C),Insurance
BRYTE Insurance Company Limited,Botswana,2022,10.3,-12.51,,,7.36,11.77,Non-Life (P&C),Insurance
Bona Life Insurance (Pty) Ltd,Botswana,2022,0.48,-35.08,,,0.13,0.74,Life,Insurance
Botswana Insurance Co Ltd,Botswana,2022,41.43,-15.47,,,29.6,49.02,Non-Life (P&C),Insurance
Botswana Life Insurance Ltd,Botswana,2022,250.08,-11.85,,,68.63,283.69,Life,Insurance
Export Credit Insurance and Guarantee Company (Botswana) Pty Ltd,Botswana,2022,1.51,-4.0,,,1.08,1.57,Non-Life (P&C),Insurance
Hollard Insurance Company of Botswana (Pty) Ltd,Botswana,2022,30.48,0.3,,,21.77,30.39,Non-Life (P&C),Insurance
Hollard Insurance Company of Botswana (Pty) Ltd,Botswana,2022,20.78,-6.11,,,5.7,22.14,Life,Insurance
Liberty Life Botswana,Botswana,2022,12.13,40.95,,,3.33,8.6,Life,Insurance
Metropolitan Life of Botswana Ltd,Botswana,2022,62.55,-0.54,,,17.17,62.89,Life,Insurance
Old Mutual Life Insurance Company (Pty) Ltd,Botswana,2022,5.9,-0.16,,,1.62,5.91,Life,Insurance
Old Mutual Short Term Insurance Botswana Ltd,Botswana,2022,21.06,1.65,,,15.04,20.72,Non-Life (P&C),Insurance
Phoenix of Botswana Assurance Company (Pty) Ltd,Botswana,2022,2.71,28.56,,,1.94,2.11,Non-Life (P&C),Insurance
Sesiro Insurance Company (Pty) Ltd,Botswana,2022,17.38,19.09,,,12.41,14.59,Non-Life (P&C),Insurance
Sunshine Insurance Company Botswana (Pty) Ltd,Botswana,2022,2.18,-15.71,,,1.56,2.59,Non-Life (P&C),Insurance
Western Insurance Botswana (Pty) Ltd,Botswana,2022,3.64,-10.36,,,2.6,4.06,Non-Life (P&C),Insurance
Western Life Insurance Company Botswana (Pty) Ltd,Botswana,2022,0.39,-10.36,,,0.11,0.44,Life,Insurance
CIF Assurances Vie Burkina,Burkina Faso,2024,6.22,,,,5.21,,Life,Insurance
CORIS Assurances SA,Burkina Faso,2024,23.13,18.5,,,14.78,19.52,Non-Life (P&C),Insurance
CORIS Assurances Vie,Burkina Faso,2024,11.89,11.07,,,9.95,10.71,Life,Insurance
GENERALE DES ASSURANCES,Burkina Faso,2024,15.08,31.74,,,9.63,11.45,Non-Life (P&C),Insurance
Generale des Assurances (GA) Vie,Burkina Faso,2024,3.96,,,,3.31,,Life,Insurance
Jackson Assurances IARD,Burkina Faso,2024,10.79,-5.46,,,6.89,11.41,Non-Life (P&C),Insurance
Raynal Assurances IARD,Burkina Faso,2024,15.46,1.37,,,9.88,15.26,Non-Life (P&C),Insurance
SOCIETE NATIONALE D'ASSURANCES ET DE REASSURANCES,Burkina Faso,2024,28.25,13.31,,,18.05,24.93,Non-Life (P&C),Insurance
SUNU Assurances SA,Burkina Faso,2024,13.96,1.27,,,8.92,13.78,Non-Life (P&C),Insurance
SUNU Assurances Vie Burkina Faso,Burkina Faso,2024,29.94,,,,25.05,,Life,Insurance
Sanlam Allianz Assurance Vie Burkina,Burkina Faso,2024,11.59,,,,9.69,,Life,Insurance
Sanlam Assurance,Burkina Faso,2024,30.6,-0.81,,,19.55,30.85,Non-Life (P&C),Insurance
Societe Nationale d'Assurances et de Reassurances(SONAR) Vie,Burkina Faso,2024,29.17,,,,24.41,,Life,Insurance
UNION DES ASSURANCES DU BURKINA VIE,Burkina Faso,2024,17.3,4.61,,,11.05,16.54,Non-Life (P&C),Insurance
Union des Assurances du Burkina Faso (UAB) Vie,Burkina Faso,2024,26.22,,,,21.94,,Life,Insurance
Vista Assurances,Burkina Faso,2024,0.57,,,,0.36,,Non-Life (P&C),Insurance
Yelen Assurance,Burkina Faso,2024,1.39,-4.69,,,0.89,1.46,Non-Life (P&C),Insurance
Yelen Assurance,Burkina Faso,2024,0.53,,,,0.44,,Life,Insurance
AGICO,Burundi,2024,0.51,85.42,,,1.69,0.28,Non-Life (P&C),Insurance
