Company,Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab),Part de marché pays (%),Primes Emises Année Précédente (mn USD),Line_Of_Business,Company_Type
CCR,Algeria,2023,342.65,19.78,,,100.0,286.06,Non-Life (P&C),Reinsurance
Continental Re,Botswana,2022,25.72,27.66,,,51.67,20.15,Non-Life (P&C),Reinsurance
Emeritus,Botswana,2022,4.51,27.15,,,9.06,3.55,Non-Life (P&C),Reinsurance
FMRE,Botswana,2022,19.55,6.51,,,39.27,18.35,Non-Life (P&C),Reinsurance
Ghana Reinsurance Company Limited,Ghana,2022,60.8,-8.78,,,100.0,66.66,Non-Life (P&C),Reinsurance
Ghana Reinsurance Company Limited,Ghana,2022,3.75,-24.98,,,100.0,5.0,Life,Reinsurance
Nouvelle Compagnie Africaine de Reassurance,Ivory Coast,2020,32.58,7.28,,,100.0,30.37,Non-Life (P&C),Reinsurance
Continental Reinsurance,Kenya,2024,42.17,-11.01,,,16.47,47.39,Non-Life (P&C),Reinsurance
Continental Reinsurance,Kenya,2024,0.0,-100.0,,,0.0,0.36,Life,Reinsurance
East Africa Reinsurance Company,Kenya,2024,32.34,4.85,,,12.63,30.85,Non-Life (P&C),Reinsurance
East Africa Reinsurance Company,Kenya,2024,6.24,-21.6,,,10.94,7.96,Life,Reinsurance
Ghana Reinsurance Company Limited,Kenya,2024,26.6,41.21,,,10.39,18.84,Non-Life (P&C),Reinsurance
Kenya Reinsurance Corporation,Kenya,2024,111.13,-3.55,,,43.39,115.22,Non-Life (P&C),Reinsurance
Kenya Reinsurance Corporation,Kenya,2024,50.81,179.16,,,89.06,18.2,Life,Reinsurance
Waica Reinsurance Company,Kenya,2024,43.86,21.29,,,17.13,36.16,Non-Life (P&C),Reinsurance
"Mocambique Resseguros, S.A",Mozambique,2024,10.85,25.93,,,100.0,8.61,Non-Life (P&C),Reinsurance
Continental Reinsurance Plc,Nigeria,2023,56.76,-29.91,,,53.64,80.97,Non-Life (P&C),Reinsurance
Continental Reinsurance Plc,Nigeria,2023,9.09,-29.13,,,86.73,12.83,Life,Reinsurance
FBS Reinsurance,Nigeria,2023,47.47,25.36,,,44.86,37.87,Non-Life (P&C),Reinsurance
FBS Reinsurance,Nigeria,2023,1.22,37.09,,,11.67,0.89,Life,Reinsurance
Nigeria Reinsurance Corporation,Nigeria,2023,1.59,-27.0,,,1.5,2.18,Non-Life (P&C),Reinsurance
Nigeria Reinsurance Corporation,Nigeria,2023,0.17,-40.83,,,1.6,0.28,Life,Reinsurance
SEN Re,Senegal,2023,46.08,2.66,,,100.0,44.88,Non-Life (P&C),Reinsurance
SEN Re,Senegal,2023,5.33,39.08,,,100.0,3.83,Life,Reinsurance
Grand Reinsurance Tanzania Limited,Tanzania,2022,9.08,4717.65,,,10.39,0.19,Non-Life (P&C),Reinsurance
PanAfrique Re Limited,Tanzania,2022,0.31,,,,0.36,,Non-Life (P&C),Reinsurance
Tanzania Reinsurance Company Ltd (Tan-Re),Tanzania,2022,78.03,19.39,,,89.26,65.36,Non-Life (P&C),Reinsurance
Tanzania Reinsurance Company Ltd (Tan-Re),Tanzania,2022,9.58,42.76,,,100.0,6.71,Life,Reinsurance
Societe Tunisienne de Reassurance (Tunis Re),Tunisia,2024,74.53,9.81,,,100.0,67.88,Non-Life (P&C),Reinsurance
Societe Tunisienne de Reassurance (Tunis Re),Tunisia,2024,3.11,-17.47,,,100.0,3.77,Life,Reinsurance
Uganda Reinsurance Company Ltd,Uganda,2024,25.57,18.05,,,74.28,21.66,Non-Life (P&C),Reinsurance
Uganda Reinsurance Company Ltd,Uganda,2024,2.3,-9.22,,,100.0,2.54,Life,Reinsurance
kenya Re,Uganda,2024,8.85,69.44,,,25.72,5.23,Non-Life (P&C),Reinsurance
