Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Ratio S/P (%),Densite Assurance (USD/hab)
Afrique du Sud,2015,8120.12,-6.3,2.34,57.44,145.75
Afrique du Sud,2016,7578.12,-6.67,2.34,61.18,134.02
Afrique du Sud,2017,8947.47,18.07,2.35,58.92,155.97
Afrique du Sud,2018,8207.16,-8.27,2.03,55.3,140.94
Afrique du Sud,2019,10240.08,24.77,2.63,59.0,173.18
Afrique du Sud,2020,9021.33,-11.9,2.67,55.15,150.35
Afrique du Sud,2021,11189.7,24.04,2.66,84.61,181.94
Afrique du Sud,2022,10809.4,-3.4,2.65,56.25,173.29
Afrique du Sud,2023,10889.72,0.74,2.85,54.1,172.27
Afrique du Sud,2024,11868.14,8.98,2.96,55.88,185.42
Algérie,2015,1204.27,-17.07,0.64,56.17,30.13
Algérie,2016,1089.08,-9.57,0.6,57.6,26.67
Algérie,2017,1101.66,1.15,0.58,56.6,26.41
Algérie,2018,1081.07,-1.87,0.56,50.6,25.39
Algérie,2019,1106.68,2.37,0.57,53.7,25.49
Algérie,2020,994.38,-10.15,0.6,46.5,22.68
Algérie,2021,987.48,-0.69,0.53,49.4,22.15
Algérie,2022,990.04,0.26,0.44,45.7,21.86
Algérie,2023,1076.43,8.73,0.43,46.8,23.41
Algérie,2024,1121.99,4.23,0.42,45.2,24.06
Angola,2015,496.67,-17.21,0.43,17.85,17.66
Angola,2016,236.66,-52.35,0.23,25.44,8.12
Angola,2017,343.99,45.35,0.28,52.99,11.39
Angola,2018,242.61,-29.47,0.24,27.49,7.76
Angola,2019,209.59,-13.61,0.25,18.48,6.48
Angola,2020,214.29,2.24,0.39,25.78,6.41
Angola,2021,247.12,15.32,0.35,28.01,7.16
Angola,2022,356.15,44.12,0.31,14.94,10.01
Angola,2023,299.13,-16.01,0.34,39.63,8.15
Angola,2024,311.28,4.06,0.29,21.06,8.2
Botswana,2015,122.73,-4.28,0.9,30.27,53.24
Botswana,2016,113.77,-7.3,0.75,35.28,48.37
Botswana,2017,115.84,1.81,0.72,37.96,48.22
Botswana,2018,133.9,15.6,0.79,30.96,54.63
Botswana,2019,133.94,0.03,0.8,32.29,53.58
Botswana,2020,121.88,-9.01,0.82,29.88,47.87
Botswana,2021,138.72,13.82,0.74,30.69,53.6
Botswana,2022,128.83,-7.13,0.63,27.82,48.98
Botswana,2023,97.53,-24.3,0.5,28.1,36.46
Botswana,2024,121.19,-8.99,0.58,33.1,44.33
Burkina Faso,2015,48.83,-0.83,0.41,57.35,2.61
Burkina Faso,2016,54.64,11.9,0.43,32.36,2.83
Burkina Faso,2017,60.14,10.06,0.43,28.71,3.03
Burkina Faso,2018,66.5,10.58,0.42,36.94,3.26
Burkina Faso,2019,67.46,1.44,0.42,50.32,3.22
Burkina Faso,2020,82.07,21.65,0.45,28.26,3.81
Burkina Faso,2021,91.75,11.8,0.47,46.2,4.15
Burkina Faso,2022,95.15,3.71,0.5,46.27,4.2
Burkina Faso,2023,101.52,6.7,0.5,32.5,4.37
Burkina Faso,2024,109.15,7.51,0.47,58.7,4.58
Burundi,2015,14.16,-9.65,0.46,38.2,1.28
Burundi,2016,13.08,-7.67,0.44,32.52,1.16
Burundi,2017,12.69,-2.92,0.4,43.56,1.1
Burundi,2018,13.11,3.28,0.43,62.05,1.11
Burundi,2019,14.23,8.52,0.47,43.64,1.16
Burundi,2020,14.03,-1.37,0.45,49.78,1.11
Burundi,2021,16.89,20.36,0.5,48.63,1.3
Burundi,2022,19.12,13.22,0.49,65.49,1.44
Burundi,2023,18.99,-0.69,0.54,36.93,1.39
Burundi,2024,23.72,24.9,0.66,41.13,1.69
Bénin,2015,35.3,-9.83,0.31,41.57,3.23
Bénin,2016,36.91,4.55,0.31,38.48,3.28
Bénin,2017,36.05,-2.34,0.28,27.55,3.11
Bénin,2018,41.21,14.31,0.29,21.93,3.45
Bénin,2019,39.07,-5.18,0.27,32.63,3.18
Bénin,2020,39.39,0.81,0.25,36.48,3.12
Bénin,2021,48.68,23.6,0.28,36.38,3.75
Bénin,2022,49.95,2.61,0.29,29.15,3.74
Bénin,2023,55.46,11.02,0.28,27.54,4.04
Bénin,2024,54.38,14.06,0.27,28.09,3.9
Cameroun,2015,160.46,-4.01,0.5,36.78,6.89
Cameroun,2016,163.16,1.68,0.48,34.25,6.82
Cameroun,2017,169.0,3.58,0.47,22.71,6.88
Cameroun,2018,182.98,8.28,0.46,32.18,7.26
Cameroun,2019,169.45,-7.4,0.43,38.05,6.55
Cameroun,2020,168.34,-0.66,0.41,36.02,6.34
Cameroun,2021,187.71,11.51,0.42,23.96,6.97
Cameroun,2022,189.18,0.78,0.43,20.89,6.85
Cameroun,2023,212.02,12.07,0.43,37.66,7.47
Cameroun,2024,203.62,8.58,0.4,28.87,7.03
Cap-Vert,2015,19.32,-12.87,1.1,31.99,36.83
Cap-Vert,2016,20.21,4.58,1.09,29.03,38.05
Cap-Vert,2017,21.8,7.88,1.09,30.32,40.56
Cap-Vert,2018,23.7,8.73,1.07,33.77,43.59
Cap-Vert,2019,24.43,3.04,1.08,30.67,44.42
Cap-Vert,2020,23.36,-4.35,1.28,35.53,42.02
Cap-Vert,2021,25.75,10.2,1.25,32.5,43.79
Cap-Vert,2022,26.23,1.88,1.17,32.75,44.22
Cap-Vert,2023,29.73,13.35,1.17,34.65,49.66
Cap-Vert,2024,32.37,8.86,1.16,31.66,53.55
Congo,2015,136.57,15.25,1.15,20.25,28.12
Congo,2016,88.76,-35.01,0.81,28.45,17.82
Congo,2017,81.12,-8.61,0.69,28.2,15.87
Congo,2018,82.47,1.67,0.56,13.32,15.73
Congo,2019,79.4,-3.73,0.57,15.48,14.76
Congo,2020,78.32,-1.36,0.68,13.2,14.19
Congo,2021,87.06,11.16,0.65,13.7,14.78
Congo,2022,85.32,-2.0,0.61,15.72,14.14
Congo,2023,124.73,46.19,0.88,11.81,20.17
Congo,2024,89.59,24.23,0.6,20.0,13.41
Côte d'Ivoire,2015,193.89,-2.31,0.42,30.78,7.68
Côte d'Ivoire,2016,210.04,8.33,0.43,29.86,8.08
Côte d'Ivoire,2017,214.91,2.32,0.41,34.68,8.04
Côte d'Ivoire,2018,249.08,15.9,0.43,39.2,9.07
Côte d'Ivoire,2019,257.69,3.46,0.43,36.99,9.14
Côte d'Ivoire,2020,275.59,6.95,0.44,38.63,9.53
Côte d'Ivoire,2021,324.03,17.58,0.45,33.48,10.93
Côte d'Ivoire,2022,337.97,4.3,0.48,31.96,11.12
Côte d'Ivoire,2023,402.26,19.02,0.51,32.86,12.91
Côte d'Ivoire,2024,417.64,3.82,0.48,52.8,13.08
Gabon,2015,131.43,-16.87,0.91,22.48,67.48
Gabon,2016,108.87,-17.16,0.78,26.55,54.22
Gabon,2017,96.96,-10.94,0.65,43.51,46.96
Gabon,2018,98.24,1.31,0.58,26.98,46.36
Gabon,2019,99.85,1.64,0.59,22.61,45.96
Gabon,2020,103.52,3.68,0.67,22.92,46.51
Gabon,2021,102.01,-1.46,0.52,20.36,42.92
Gabon,2022,98.93,-3.03,0.48,25.89,40.7
Gabon,2023,111.59,12.8,0.56,24.89,44.91
Gabon,2024,114.52,2.63,0.57,55.5,45.11
Ghana,2015,230.11,1.1,0.47,37.0,8.02
Ghana,2016,273.69,18.94,0.49,39.0,9.32
Ghana,2017,273.36,-0.12,0.45,37.0,9.11
Ghana,2018,283.14,3.58,0.42,42.0,9.24
Ghana,2019,300.46,6.12,0.44,29.0,9.61
Ghana,2020,345.8,15.09,0.49,32.0,10.84
Ghana,2021,406.5,17.55,0.51,29.0,12.5
Ghana,2022,373.77,-8.05,0.5,29.0,11.28
Ghana,2023,368.94,-1.29,0.46,35.14,10.92
Ghana,2024,350.77,-4.92,0.43,35.78,10.19
Kenya,2015,798.42,-2.46,1.14,58.53,16.68
Kenya,2016,791.61,-0.85,1.06,58.6,16.14
Kenya,2017,813.61,2.78,0.99,56.87,16.2
Kenya,2018,842.98,3.61,0.91,57.85,16.4
Kenya,2019,846.65,0.44,0.84,61.55,16.1
Kenya,2020,800.58,-5.44,0.8,61.24,14.89
Kenya,2021,910.37,13.71,0.83,65.27,17.11
Kenya,2022,949.6,4.31,0.83,63.23,17.5
Kenya,2023,894.3,-5.82,0.83,60.96,16.16
Kenya,2024,956.91,7.0,0.8,64.31,16.96
Madagascar,2015,45.55,-6.94,0.4,14.59,1.79
Madagascar,2016,49.92,9.6,0.42,18.12,1.91
Madagascar,2017,50.67,1.5,0.38,20.0,1.89
Madagascar,2018,49.44,-2.41,0.36,20.0,1.8
Madagascar,2019,46.2,-6.55,0.33,20.0,1.64
Madagascar,2020,53.13,15.0,0.41,20.0,1.84
Madagascar,2021,60.98,14.77,0.42,20.0,2.05
Madagascar,2022,62.25,2.09,0.41,20.0,2.05
Madagascar,2023,63.57,2.11,0.4,20.0,2.04
Madagascar,2024,64.64,8.04,0.4,28.16,2.04
Malawi,2015,55.45,-2.38,0.62,77.73,3.31
Malawi,2016,43.91,-20.82,0.57,86.06,2.55
Malawi,2017,51.31,16.86,0.57,72.3,2.9
Malawi,2018,59.56,16.08,0.6,60.01,3.28
Malawi,2019,68.22,14.54,0.62,79.51,3.66
Malawi,2020,72.85,6.79,0.62,68.09,3.81
Malawi,2021,72.49,-0.49,0.59,73.86,3.62
Malawi,2022,69.28,-4.43,0.56,57.77,3.37
Malawi,2023,66.48,-4.04,0.53,54.16,3.15
Malawi,2024,51.16,-23.05,0.47,69.11,2.36
Mali,2015,40.23,-3.62,0.26,20.71,2.22
Mali,2016,45.65,13.48,0.27,30.0,2.44
Mali,2017,52.8,15.65,0.29,30.02,2.73
Mali,2018,55.18,4.51,0.27,20.86,2.77
Mali,2019,53.25,-3.49,0.26,34.75,2.59
Mali,2020,57.19,7.4,0.28,23.79,2.69
Mali,2021,70.11,22.59,0.3,34.22,3.2
Mali,2022,68.36,-2.5,0.3,22.17,3.03
Mali,2023,76.76,12.29,0.31,36.18,3.3
Mali,2024,78.63,10.07,0.31,32.22,3.35
Maroc,2015,1675.58,-9.96,1.52,56.64,48.34
Maroc,2016,1736.85,3.66,1.56,66.68,49.45
Maroc,2017,1845.99,6.28,1.56,63.53,51.88
Maroc,2018,2019.61,9.41,1.59,70.12,56.05
Maroc,2019,2065.23,2.26,1.6,64.11,56.63
Maroc,2020,2092.15,1.3,1.72,61.96,56.68
Maroc,2021,2381.5,13.83,1.68,64.42,64.44
Maroc,2022,2248.22,-5.6,1.72,61.97,60.23
Maroc,2023,2387.46,6.19,1.65,75.75,63.31
Maroc,2024,2560.66,7.25,1.75,67.41,67.24
Maurice,2015,163.39,-9.55,1.36,56.36,129.38
Maurice,2016,166.23,1.74,1.32,57.62,131.54
Maurice,2017,187.49,12.79,1.37,57.72,148.23
Maurice,2018,198.85,6.06,1.35,59.57,157.13
Maurice,2019,206.97,4.08,1.43,60.68,163.49
Maurice,2020,200.62,-3.07,1.76,57.46,158.47
Maurice,2021,200.13,-0.24,1.74,54.63,158.04
Maurice,2022,224.44,12.15,1.74,61.02,177.77
Maurice,2023,258.38,15.12,1.83,55.42,204.9
Maurice,2024,291.2,12.7,1.95,53.91,231.2
Mauritanie,2015,30.0,7.14,0.52,54.8,7.28
Mauritanie,2016,23.0,-23.33,0.35,54.0,5.38
Mauritanie,2017,9.9,-4.41,0.13,52.59,2.25
Mauritanie,2018,11.33,14.5,0.15,50.05,2.57
Mauritanie,2019,17.77,56.82,0.22,50.62,3.93
Mauritanie,2020,18.7,5.18,0.22,50.21,4.02
Mauritanie,2021,20.39,9.08,0.2,49.42,4.42
Mauritanie,2022,31.85,56.2,0.29,50.01,6.73
Mauritanie,2023,22.12,46.03,0.2,48.09,4.43
Mauritanie,2024,22.51,52.9,0.2,47.34,4.39
Mozambique,2015,167.65,-15.86,1.03,40.94,6.2
Mozambique,2016,123.05,-26.6,1.02,53.02,4.42
Mozambique,2017,144.31,17.28,1.09,51.14,5.04
Mozambique,2018,140.18,-2.87,0.93,44.39,4.76
Mozambique,2019,152.92,9.09,0.99,49.75,5.05
Mozambique,2020,151.69,-0.8,1.07,47.43,4.87
Mozambique,2021,184.0,21.3,1.14,60.38,5.74
Mozambique,2022,185.62,0.88,0.98,49.35,5.63
Mozambique,2023,191.31,3.07,0.91,44.52,5.64
Mozambique,2024,209.7,9.61,0.92,44.58,6.02
Namibie,2015,200.13,-13.85,1.77,32.27,86.45
Namibie,2016,173.25,-13.43,1.62,30.92,73.47
Namibie,2017,200.56,15.76,1.56,28.17,83.47
Namibie,2018,201.05,0.25,1.47,10.7,82.12
Namibie,2019,202.57,0.76,1.62,16.38,81.21
Namibie,2020,189.82,-6.3,1.79,25.9,74.7
Namibie,2021,221.8,16.85,1.79,18.42,78.92
Namibie,2022,191.7,-13.57,1.53,7.66,66.34
Namibie,2023,199.35,3.99,1.61,9.63,67.28
Namibie,2024,302.46,51.73,2.26,15.67,99.82
Niger,2015,32.08,-4.98,0.33,35.63,1.6
Niger,2016,30.92,-3.61,0.3,28.85,1.49
Niger,2017,28.38,-8.21,0.25,28.6,1.31
Niger,2018,31.96,12.61,0.25,26.13,1.42
Niger,2019,33.92,6.14,0.26,24.34,1.46
Niger,2020,34.03,0.31,0.25,27.33,1.41
Niger,2021,39.86,17.15,0.27,20.21,1.63
Niger,2022,35.62,-10.64,0.23,23.09,1.41
Niger,2023,36.4,2.19,0.22,28.9,1.39
Niger,2024,38.39,5.05,0.21,22.03,1.42
Nigeria,2015,969.67,-16.39,0.2,32.17,5.35
Nigeria,2016,727.87,-24.94,0.18,38.42,3.91
Nigeria,2017,662.98,-8.91,0.18,54.1,3.47
Nigeria,2018,801.78,20.93,0.19,49.09,4.09
Nigeria,2019,841.04,4.9,0.18,34.01,4.19
Nigeria,2020,772.05,-8.2,0.18,43.4,3.75
Nigeria,2021,829.46,7.44,0.19,44.31,3.8
Nigeria,2022,1068.77,28.85,0.22,33.58,4.79
Nigeria,2023,874.63,-18.16,0.24,64.46,3.84
Nigeria,2024,739.1,-15.5,0.29,57.2,3.18
Ouganda,2015,131.72,13.71,0.42,46.96,3.45
Ouganda,2016,101.2,-23.17,0.32,35.35,2.55
Ouganda,2017,103.03,1.8,0.31,38.14,2.5
Ouganda,2018,113.85,10.5,0.32,31.99,2.66
Ouganda,2019,120.69,6.01,0.32,36.9,2.73
Ouganda,2020,122.52,1.52,0.31,32.52,2.68
Ouganda,2021,145.23,18.53,0.32,39.09,3.16
Ouganda,2022,173.57,19.51,0.35,40.45,3.67
Ouganda,2023,153.43,-11.6,0.3,45.75,3.15
Ouganda,2024,174.27,13.58,0.31,42.83,3.48
RDC,2015,85.78,-7.92,0.21,15.36,1.13
RDC,2016,60.87,15.6,0.21,14.54,1.09
RDC,2017,88.34,39.12,0.23,13.72,1.28
RDC,2018,65.48,62.65,0.13,12.9,0.75
RDC,2019,121.91,86.17,0.24,12.08,1.4
RDC,2020,141.29,15.9,0.28,13.26,1.58
RDC,2021,196.36,38.98,0.34,12.46,1.98
RDC,2022,250.75,27.7,0.38,13.54,2.45
RDC,2023,263.68,5.15,0.38,15.87,2.49
RDC,2024,295.58,12.1,0.4,15.23,2.7
Sénégal,2015,111.36,-0.71,0.63,34.96,7.64
Sénégal,2016,118.14,6.09,0.62,40.37,7.88
Sénégal,2017,132.08,11.8,0.63,41.49,8.57
Sénégal,2018,146.86,11.19,0.64,35.12,9.26
Sénégal,2019,152.66,3.95,0.65,46.12,9.37
Sénégal,2020,168.35,10.27,0.69,33.23,10.05
Sénégal,2021,189.81,12.75,0.69,32.62,11.03
Sénégal,2022,183.8,-3.16,0.67,21.79,10.4
Sénégal,2023,198.79,8.15,0.65,26.43,10.95
Sénégal,2024,208.64,4.95,0.64,26.18,11.18
Tanzanie,2015,224.44,-7.71,0.47,46.33,4.49
Tanzanie,2016,214.23,-4.55,0.43,44.22,4.16
Tanzanie,2017,191.12,-10.79,0.36,45.02,3.6
Tanzanie,2018,203.1,6.27,0.37,40.87,3.71
Tanzanie,2019,245.98,21.11,0.42,30.24,4.37
Tanzanie,2020,240.74,-2.13,0.38,36.3,4.15
Tanzanie,2021,265.16,10.14,0.39,17.95,4.44
Tanzanie,2022,328.2,23.77,0.44,16.03,5.34
Tanzanie,2023,330.68,0.76,0.42,38.62,5.22
Tanzanie,2024,356.82,7.91,0.45,36.93,5.47
Tchad,2015,18.17,-10.37,0.13,24.46,1.29
Tchad,2016,15.87,-12.67,0.12,32.68,1.09
Tchad,2017,14.37,-9.44,0.11,21.28,0.96
Tchad,2018,15.2,5.78,0.1,18.39,0.98
Tchad,2019,14.76,-2.89,0.1,20.08,0.93
Tchad,2020,15.48,4.87,0.11,21.74,0.94
Tchad,2021,13.83,-10.69,0.09,30.09,0.78
Tchad,2022,18.1,30.89,0.11,19.51,0.98
Tchad,2023,21.12,16.68,0.12,22.32,1.09
Tchad,2024,17.8,20.97,0.1,21.14,0.88
Togo,2015,30.4,-8.88,0.73,35.61,4.07
Togo,2016,30.93,1.76,0.51,29.4,4.04
Togo,2017,33.58,8.57,0.53,55.69,4.28
Togo,2018,31.83,-5.23,0.45,31.56,3.95
