Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Ratio S/P (%),Densite Assurance (USD/hab)
SOUTH AFRICA,2015,8120.12,-6.3,2.34,57.44,145.75
SOUTH AFRICA,2016,7578.12,-6.67,2.34,61.18,134.02
SOUTH AFRICA,2017,8947.47,18.07,2.35,58.92,155.97
SOUTH AFRICA,2018,8207.16,-8.27,2.03,55.3,140.94
SOUTH AFRICA,2019,10240.08,24.77,2.63,59.0,173.18
SOUTH AFRICA,2020,9021.33,-11.9,2.67,55.15,150.35
SOUTH AFRICA,2021,11189.7,24.04,2.66,84.61,181.94
SOUTH AFRICA,2022,10809.4,-3.4,2.65,56.25,173.29
SOUTH AFRICA,2023,10889.72,0.74,2.85,54.1,172.27
SOUTH AFRICA,2024,11868.14,8.98,2.96,55.88,185.42
ALGERIE,2015,1204.27,-17.07,0.64,56.17,30.13
ALGERIE,2016,1089.08,-9.57,0.6,57.6,26.67
ALGERIE,2017,1101.66,1.15,0.58,56.6,26.41
ALGERIE,2018,1081.07,-1.87,0.56,50.6,25.39
ALGERIE,2019,1106.68,2.37,0.57,53.7,25.49
ALGERIE,2020,994.38,-10.15,0.6,46.5,22.68
ALGERIE,2021,987.48,-0.69,0.53,49.4,22.15
ALGERIE,2022,990.04,0.26,0.44,45.7,21.86
ALGERIE,2023,1076.43,8.73,0.43,46.8,23.41
ALGERIE,2024,1121.99,4.23,0.42,45.2,24.06
ANGOLA,2015,496.67,-17.21,0.43,17.85,17.66
ANGOLA,2016,236.66,-52.35,0.23,25.44,8.12
ANGOLA,2017,343.99,45.35,0.28,52.99,11.39
ANGOLA,2018,242.61,-29.47,0.24,27.49,7.76
ANGOLA,2019,209.59,-13.61,0.25,18.48,6.48
ANGOLA,2020,214.29,2.24,0.39,25.78,6.41
ANGOLA,2021,247.12,15.32,0.35,28.01,7.16
ANGOLA,2022,356.15,44.12,0.31,14.94,10.01
ANGOLA,2023,299.13,-16.01,0.34,39.63,8.15
ANGOLA,2024,311.28,4.06,0.29,21.06,8.2
BOTSWANA,2015,122.73,-4.28,0.9,30.27,53.24
BOTSWANA,2016,113.77,-7.3,0.75,35.28,48.37
BOTSWANA,2017,115.84,1.81,0.72,37.96,48.22
BOTSWANA,2018,133.9,15.6,0.79,30.96,54.63
BOTSWANA,2019,133.94,0.03,0.8,32.29,53.58
BOTSWANA,2020,121.88,-9.01,0.82,29.88,47.87
BOTSWANA,2021,138.72,13.82,0.74,30.69,53.6
BOTSWANA,2022,128.83,-7.13,0.63,27.82,48.98
BOTSWANA,2023,97.53,-24.3,0.5,28.1,36.46
BOTSWANA,2024,121.19,-8.99,0.58,33.1,44.33
BURKINA FASO,2015,48.83,-0.83,0.41,57.35,2.61
BURKINA FASO,2016,54.64,11.9,0.43,32.36,2.83
BURKINA FASO,2017,60.14,10.06,0.43,28.71,3.03
BURKINA FASO,2018,66.5,10.58,0.42,36.94,3.26
BURKINA FASO,2019,67.46,1.44,0.42,50.32,3.22
BURKINA FASO,2020,82.07,21.65,0.45,28.26,3.81
BURKINA FASO,2021,91.75,11.8,0.47,46.2,4.15
BURKINA FASO,2022,95.15,3.71,0.5,46.27,4.2
BURKINA FASO,2023,101.52,6.7,0.5,32.5,4.37
BURKINA FASO,2024,109.15,7.51,0.47,58.7,4.58
BURUNDI,2015,14.16,-9.65,0.46,38.2,1.28
BURUNDI,2016,13.08,-7.67,0.44,32.52,1.16
BURUNDI,2017,12.69,-2.92,0.4,43.56,1.1
BURUNDI,2018,13.11,3.28,0.43,62.05,1.11
BURUNDI,2019,14.23,8.52,0.47,43.64,1.16
BURUNDI,2020,14.03,-1.37,0.45,49.78,1.11
BURUNDI,2021,16.89,20.36,0.5,48.63,1.3
BURUNDI,2022,19.12,13.22,0.49,65.49,1.44
BURUNDI,2023,18.99,-0.69,0.54,36.93,1.39
BURUNDI,2024,23.72,24.9,0.66,41.13,1.69
BENIN,2015,35.3,-9.83,0.31,41.57,3.23
BENIN,2016,36.91,4.55,0.31,38.48,3.28
BENIN,2017,36.05,-2.34,0.28,27.55,3.11
BENIN,2018,41.21,14.31,0.29,21.93,3.45
BENIN,2019,39.07,-5.18,0.27,32.63,3.18
BENIN,2020,39.39,0.81,0.25,36.48,3.12
BENIN,2021,48.68,23.6,0.28,36.38,3.75
BENIN,2022,49.95,2.61,0.29,29.15,3.74
BENIN,2023,55.46,11.02,0.28,27.54,4.04
BENIN,2024,54.38,14.06,0.27,28.09,3.9
CAMEROON,2015,160.46,-4.01,0.5,36.78,6.89
CAMEROON,2016,163.16,1.68,0.48,34.25,6.82
CAMEROON,2017,169.0,3.58,0.47,22.71,6.88
CAMEROON,2018,182.98,8.28,0.46,32.18,7.26
CAMEROON,2019,169.45,-7.4,0.43,38.05,6.55
CAMEROON,2020,168.34,-0.66,0.41,36.02,6.34
CAMEROON,2021,187.71,11.51,0.42,23.96,6.97
CAMEROON,2022,189.18,0.78,0.43,20.89,6.85
CAMEROON,2023,212.02,12.07,0.43,37.66,7.47
CAMEROON,2024,203.62,8.58,0.4,28.87,7.03
CAPE VERDE,2015,19.32,-12.87,1.1,31.99,36.83
CAPE VERDE,2016,20.21,4.58,1.09,29.03,38.05
CAPE VERDE,2017,21.8,7.88,1.09,30.32,40.56
CAPE VERDE,2018,23.7,8.73,1.07,33.77,43.59
