Pays,Année,Primes Emises (mn USD),Croissance Primes (%),Taux Penetration (%),Densite Assurance (USD/hab)
Afrique du Sud,2015,33848.93,-9.25,9.77,607.58
Afrique du Sud,2016,30214.38,-10.74,9.34,534.36
Afrique du Sud,2017,33094.06,9.53,8.68,576.89
Afrique du Sud,2018,39879.09,20.5,9.84,684.82
Afrique du Sud,2019,37836.85,-5.12,9.72,639.88
Afrique du Sud,2020,33708.52,-10.91,9.97,561.78
Afrique du Sud,2021,41723.08,23.78,9.93,678.4
Afrique du Sud,2022,38301.27,-8.2,9.4,614.01
Afrique du Sud,2023,36495.99,-4.71,9.57,577.35
Afrique du Sud,2024,39285.15,7.64,9.79,613.76
Algérie,2015,56.55,0.79,0.03,1.42
Algérie,2016,65.24,15.38,0.04,1.6
Algérie,2017,78.76,20.72,0.04,1.89
Algérie,2018,65.89,-16.34,0.03,1.55
Algérie,2019,80.5,22.16,0.04,1.85
Algérie,2020,80.95,0.57,0.05,1.85
Algérie,2021,81.01,0.07,0.04,1.82
Algérie,2022,89.8,10.86,0.04,1.98
Algérie,2023,110.86,23.45,0.04,2.41
Algérie,2024,114.77,3.53,0.04,2.46
Angola,2015,10.11,-25.02,0.01,0.35
Angola,2016,12.36,-28.57,0.01,0.42
Angola,2017,11.44,-7.44,0.01,0.38
Angola,2018,8.31,-27.36,0.01,0.26
Angola,2019,5.48,-55.59,0.01,0.16
Angola,2020,8.91,-27.83,0.02,0.27
Angola,2021,12.42,39.29,0.02,0.36
Angola,2022,55.01,343.06,0.05,1.55
Angola,2023,70.84,28.77,0.08,1.93
Angola,2024,35.68,-49.64,0.03,0.94
Botswana,2015,329.32,7.06,2.43,142.87
Botswana,2016,290.13,-11.9,1.92,123.35
Botswana,2017,360.44,24.24,2.24,150.06
Botswana,2018,400.39,11.08,2.35,163.36
Botswana,2019,358.51,-10.46,2.15,143.4
Botswana,2020,360.75,0.63,2.42,141.69
Botswana,2021,398.26,10.4,2.12,153.89
Botswana,2022,364.39,-8.5,1.79,138.55
Botswana,2023,213.95,-41.28,1.1,79.98
Botswana,2024,334.29,56.25,1.74,120.99
Burkina Faso,2015,33.15,-7.52,0.28,1.77
Burkina Faso,2016,38.32,15.61,0.3,1.99
Burkina Faso,2017,49.04,27.98,0.35,2.47
Burkina Faso,2018,60.2,22.76,0.38,2.95
Burkina Faso,2019,70.73,17.49,0.44,3.38
Burkina Faso,2020,80.27,13.48,0.44,3.73
Burkina Faso,2021,100.69,25.44,0.51,4.56
Burkina Faso,2022,101.93,1.23,0.54,4.5
Burkina Faso,2023,114.25,12.09,0.56,4.91
Burkina Faso,2024,119.53,4.62,0.51,5.01
Burundi,2015,7.11,0.27,0.23,0.64
