Pays,Année,FDI Inflows % GDP,Political Stability,Regulatory Quality,kaopen
Afrique du Sud,2015,0.438735792056356,-0.220544874668121,0.208593904972076,-1.2538762092590332
Afrique du Sud,2016,0.438735792056356,-0.220544874668121,0.208593904972076,-1.2538762092590332
Afrique du Sud,2017,0.684612553455795,-0.149085000157356,0.119783155620098,-1.2538762092590332
Afrique du Sud,2018,0.539673956759456,-0.284803628921509,0.13887757062912,-1.2538762092590332
Afrique du Sud,2019,1.37429117153459,-0.237546816468239,-0.0407781675457954,-1.2538762092590332
Afrique du Sud,2020,1.31407752293306,-0.2832210958004,0.0085053909569978,-1.2538762092590332
Afrique du Sud,2021,0.933073684352394,-0.252867221832275,0.0204948224127293,-1.2538762092590332
Afrique du Sud,2022,9.68098022663015,-0.750981450080872,-0.0907086357474327,-1.2538762092590332
Afrique du Sud,2023,2.26670277731613,-0.681386351585388,-0.185125753283501,-1.2538762092590332
Afrique du Sud,2024,1.0127377916456,-0.665642023086548,-0.223697945475578,-1.2538762092590332
Algérie,2015,-0.286832290676438,-1.09078657627106,-1.25690579414368,-1.2538762092590332
Algérie,2016,-0.286832290676438,-1.09078657627106,-1.25690579414368,-1.2538762092590332
Algérie,2017,0.906300705997455,-1.09974193572998,-1.2414299249649,-1.2538762092590332
Algérie,2018,0.647902696344894,-0.919614315032959,-1.2794988155365,-1.2538762092590332
Algérie,2019,0.753576088552125,-0.842107713222504,-1.34690141677856,-1.2538762092590332
Algérie,2020,0.713947308015691,-1.05585384368896,-1.38831329345703,-1.2538762092590332
Algérie,2021,0.693816014772836,-0.847820401191711,-1.35530030727386,-1.2538762092590332
Algérie,2022,0.466728479682941,-0.992457151412964,-1.18196296691895,-1.2538762092590332
Algérie,2023,0.107187812155079,-0.650652348995209,-1.06357324123383,-1.2538762092590332
Algérie,2024,0.489819143410423,-0.577885270118713,-0.948087155818939,-1.2538762092590332
Angola,2015,9.7795154502448,-0.50538581609726,-0.8636714220047,-1.9393720626831048
Angola,2016,9.7795154502448,-0.50538581609726,-0.8636714220047,-1.9393720626831048
Angola,2017,-0.299804386002375,-0.321580082178116,-0.969250917434692,-1.9393720626831048
Angola,2018,-8.76696380208172,-0.387895494699478,-1.04546654224396,-1.9393720626831048
Angola,2019,-7.21246216123288,-0.347208589315414,-0.8006831407547,-1.9393720626831048
Angola,2020,-5.07649440156737,-0.368411600589752,-0.833844542503357,-1.9393720626831048
Angola,2021,-3.17143620765821,-0.599917888641357,-0.856853485107422,-1.9393720626831048
Angola,2022,-5.47403409372737,-0.710480749607086,-0.670014679431915,-1.9393720626831048
Angola,2023,-5.02899288556058,-0.630108535289764,-0.606698572635651,-1.9393720626831048
Angola,2024,-1.97786390222726,-0.34150505065918,-0.761388182640076,-1.9393720626831048
Botswana,2015,2.79773267452093,1.03136825561523,0.552077174186707,2.280830383300781
Botswana,2016,2.79773267452093,1.03136825561523,0.552077174186707,2.280830383300781
Botswana,2017,0.944944816734731,0.979198038578033,0.727797985076904,2.280830383300781
Botswana,2018,1.61796092921322,1.00929582118988,0.595029830932617,2.280830383300781
Botswana,2019,1.67893386448584,0.958469867706299,0.623929619789124,2.280830383300781
Botswana,2020,0.559653498041763,1.09532988071442,0.498032212257385,2.280830383300781
Botswana,2021,0.212513875084985,1.01316809654236,0.527586281299591,2.280830383300781
Botswana,2022,-1.70161470195308,1.04140710830688,0.600826501846313,2.280830383300781
Botswana,2023,3.49204705165089,1.0739837884903,0.621043562889099,2.280830383300781
Botswana,2024,3.82011318135645,1.03843998908997,0.497434794902802,2.280830383300781
Burkina Faso,2015,1.95992715697747,-0.609127342700958,-0.424238204956055,-1.2538762092590332
Burkina Faso,2016,1.95992715697747,-0.609127342700958,-0.424238204956055,-1.2538762092590332
Burkina Faso,2017,3.04380349897538,-0.868710696697235,-0.44747668504715,-1.2538762092590332
Burkina Faso,2018,0.0182370342122821,-0.927885830402374,-0.481157660484314,-1.2538762092590332
Burkina Faso,2019,1.68919942943091,-1.06026446819305,-0.40524896979332,-1.2538762092590332
Burkina Faso,2020,1.0164787373679,-1.30219399929047,-0.42292308807373,-1.2538762092590332
Burkina Faso,2021,-0.557279533533573,-1.53797841072083,-0.482700347900391,-1.2538762092590332
Burkina Faso,2022,-0.405926078113797,-1.64294326305389,-0.480167269706726,-1.2538762092590332
Burkina Faso,2023,3.59640793567206,-1.81536936759949,-0.468305677175522,-1.2538762092590332
Burkina Faso,2024,0.544129932348491,-2.035231590271,-0.485633552074432,-1.2538762092590332
Burundi,2015,0.264702987630016,-1.93744611740112,-0.755148112773895,-1.9393720626831048
Burundi,2016,0.264702987630016,-1.93744611740112,-0.755148112773895,-1.9393720626831048
Burundi,2017,0.0021047272647444,-1.96437513828278,-0.854655146598816,-1.9393720626831048
Burundi,2018,2.30701019619549,-2.00257515907288,-0.869032144546509,-1.9393720626831048
Burundi,2019,0.228727114717487,-1.57027816772461,-1.00991177558899,-1.9393720626831048
Burundi,2020,1.05451097508345,-1.62505626678467,-0.991803586483002,-1.9393720626831048
Burundi,2021,0.656677740998658,-1.54235208034515,-1.06177186965942,-1.9393720626831048
Burundi,2022,0.650589004531073,-1.25839936733246,-1.00198709964752,-1.9393720626831048
Burundi,2023,0.625576918322977,-1.19244623184204,-0.947485685348511,-1.9393720626831048
Burundi,2024,0.990959506801914,-1.17240297794342,-0.985730171203613,-1.6875996589660645
Bénin,2015,1.31501182124746,-0.0204964224249125,-0.621767401695251,-1.2538762092590332
Bénin,2016,1.31501182124746,-0.0204964224249125,-0.621767401695251,-1.2538762092590332
Bénin,2017,1.11488130998834,-0.0087835025042295,-0.583056390285492,-1.2538762092590332
Bénin,2018,1.58170495191393,0.026252493262291,-0.523586809635162,-1.2538762092590332
Bénin,2019,1.36073573251591,-0.146990418434143,-0.393426120281219,-1.2538762092590332
Bénin,2020,1.51620780888962,-0.420240253210068,-0.446330428123474,-1.2538762092590332
Bénin,2021,1.10934414138144,-0.443071663379669,-0.483431756496429,-1.2538762092590332
Bénin,2022,1.95608661099463,-0.396318674087524,-0.447988480329514,-1.2538762092590332
Bénin,2023,2.15770537478617,-0.34320268034935,-0.348364651203156,-1.2538762092590332
Bénin,2024,2.25158090881957,-0.346559435129166,-0.295836299657822,-1.2538762092590332
Cameroun,2015,2.15564021048479,-0.989914000034332,-0.936662197113037,-1.2538762092590332
Cameroun,2016,2.15564021048479,-0.989914000034332,-0.936662197113037,-1.2538762092590332
Cameroun,2017,1.96334943457327,-1.06121301651001,-0.809304058551788,-1.2538762092590332
Cameroun,2018,2.25620975874553,-1.09150505065918,-0.846451878547668,-1.2538762092590332
Cameroun,2019,1.91485781286221,-1.40180146694183,-0.812619864940643,-1.2538762092590332
Cameroun,2020,2.58340602489154,-1.56182324886322,-0.847178757190704,-1.2538762092590332
Cameroun,2021,1.65595614712353,-1.51367974281311,-0.830199360847473,-1.2538762092590332
Cameroun,2022,2.14061326900656,-1.39408874511719,-0.934422612190247,-1.2538762092590332
Cameroun,2023,2.08735032157122,-1.37962925434113,-0.898889482021332,-1.2538762092590332
Cameroun,2024,1.68299656289954,-1.40043640136719,-0.913473010063171,-1.2538762092590332
Cap-Vert,2015,5.49024513305668,0.855819821357727,-0.162442341446877,-1.2538762092590332
Cap-Vert,2016,5.49024513305668,0.855819821357727,-0.162442341446877,-1.2538762092590332
Cap-Vert,2017,6.82845117866997,0.871190190315247,-0.194087252020836,-1.2538762092590332
Cap-Vert,2018,5.59469673480566,0.762865543365479,-0.0798579379916191,0.0770061314105987
